"WATERSHED_CODE","GAZETTED_NAME","ALIAS_NAME","WATERBODY_IDENTIFIER","REGION","ORDER_50","MAGNITUDE_50","WATERBODY_TYPE","RAB_WATERSHED_CODE","WATERBODY_ID","MAP_NUMBER","UTM_ZONE","UTM_EASTING","UTM_NORTHING","STREAM_LENGTH","LAKE_PERIMETER","LAKE_AREA","LAKE_ELEVATION"
"400-590300",,"KULDO LAKE, LAKE KI41","00742MSKE","Skeena",,,"Lake",,"198085","103P16","9","534930","6200816",,"3.2","31.1","982"
"420","LAKELSE LAKE",,"00045LKEL","Skeena",,,"Lake",,"201528","103I07","9","526094","6024531",,"23.7","1368.1","76"
"500-315200",,"ABBI LAKE, LAKE #042","01507NASR","Skeena",,,"Lake",,"214049","103P10","9","500811","6167863",,"5","55.4","899"
"500-444700",,"COTTUS LAKE, LAKE #041","01026NASR","Skeena",,,"Lake",,"214720","103P14","9","494315","6195121",,"4.3","27.9","353"
"500-571900-00700",,"ETHAN LAKE, LAKE #47","00154NASR","Skeena",,,"Lake",,"214993","104A02","9","513851","6225954",,"8.4","120.2","436"
"500-571900-07200",,"HAWK LAKE, LAKE #048","00188NASR","Skeena",,,"Lake",,"215035","104A02","9","514343","6222833",,"7.4","51.9","442"
"730-837600","LAKE NOLAKE",,"00124INKR","Skeena",,,"Lake",,"251060","104K13","8","565315","6529961",,"3.5","43.7","549"
"900-097600-12900-29100","LAKE LUCILLE",,"00405SQAM","Lower Mainland",,,"Lake",,"264619","092G14","10","488316","5534473",,"1.8","10.4","358"
"900-097600-17300","LAKE LOVELY WATER",,"00597SQAM","Lower Mainland",,,"Lake",,"264785","092G14","10","481846","5514693",,"5.4","87.6","1147"
"900-406900-79700","HOWE LAKE","LAKE #26","00265HOMA","Cariboo",,,"Lake",,"268761","092N09","10","407684","5727360",,"1.4","9.5","1227"
"900-406900-79700","LINCOLN LAKE","LAKE #27","00273HOMA","Cariboo",,,"Lake",,"268760","092N09","10","406394","5726480",,"2.5","12.8","1218"
"900-406900-86500",,"LAKE #25, LAKE #28","00164HOMA","Cariboo",,,"Lake",,"268820","092N09","10","404606","5732659",,"2.3","20","1161"
"900-406900-91100-24200",,"LAKE #33","00039HOMA","Cariboo",,,"Lake",,"268853","092N15","10","394440","5742977",,"2","17.6","1004"
"900-592700-89900-48800",,"LAKE #2","00945KLIN","Cariboo",,,"Lake",,"271045","092N15","10","362282","5749294",,"1.8","9.9","1315"
"900-592700-89900-48800",,"LAKE #3","00949KLIN","Cariboo",,,"Lake",,"271044","092N14","10","361982","5749032",,"1.3","3.7","1317"
"910-318700-74900-28700",,"LAKE #4, LAKE #9","01387UDEN","Cariboo",,,"Lake",,"283613","093C06","10","333226","5812024",,"2","18.1","1124"
"910-565700",,"LAKE 5","00232KHTZ","Skeena",,,"Lake",,"287302","103H07","9","516867","5915806",,"6.2","150.9","635"
